enable,pl,addrPl;data
0,0,0;-1430533120
1,0,0;-1430533120
1,0,0;-1430533120
1,0,0;-1430533119
1,0,0;-1430533118
1,0,0;-1430533117
1,0,0;-1430533116
1,0,0;-1430533115
1,0,0;-1430533114
1,0,0;-1430533113
1,0,0;-1430533112
1,0,0;-1430533111
1,0,0;-1430533110
1,0,0;-1430533109
1,0,0;-1430533108
1,0,0;-1430533107
1,0,0;-1430533106
1,0,0;-1430533105
1,0,0;-1430533104
1,0,0;-1430533103
1,0,0;-1430533102
1,0,0;-1430533101
1,0,0;-1430533100
1,0,0;-1430533099
1,0,0;-1430533098
1,0,0;-1430533097
1,0,0;-1430533096
1,0,0;-1430533095
1,0,0;-1430533094
1,0,0;-1430533093
1,0,0;-1430533092
1,0,0;-1430533091
1,0,0;-1430533090
1,0,0;-1430533089
1,0,0;-1430533088
1,0,0;-1430533087
1,0,0;-1430533086
1,0,0;-1430533085
1,0,0;-1430533084
1,0,0;-1430533083
1,0,0;-1430533082
1,0,0;-1430533081
1,0,0;-1430533080
1,0,0;-1430533079
1,0,0;-1430533078
1,0,0;-1430533077
1,0,0;-1430533076
1,0,0;-1430533075
1,0,0;-1430533074
1,0,0;-1430533073
1,0,0;-1430533072
1,0,0;-1430533071
1,0,0;-1430533070
1,0,0;-1430533069
1,0,0;-1430533068
1,0,0;-1430533067
1,0,0;-1430533066
1,0,0;-1430533065
1,0,0;-1430533064
1,0,0;-1430533063
1,0,0;-1430533062
1,0,0;-1430533061
1,0,0;-1430533060
1,0,0;-1430533059
1,0,0;-1430533058
1,0,0;-1430533057
1,0,0;-1430533056
1,0,0;-1430533055
1,0,0;-1430533054
1,0,0;-1430533053
1,0,0;-1430533052
1,0,0;-1430533051
1,0,0;-1430533050
1,0,0;-1430533049
1,0,0;-1430533048
1,0,0;-1430533047
1,0,0;-1430533046
1,0,0;-1430533045
1,0,0;-1430533044
1,0,0;-1430533043
1,0,0;-1430533042
1,0,0;-1430533041
1,0,0;-1430533040
1,0,0;-1430533039
1,0,0;-1430533038
1,0,0;-1430533037
1,0,0;-1430533036
1,0,0;-1430533035
1,0,0;-1430533034
1,0,0;-1430533033
1,0,0;-1430533032
1,0,0;-1430533031
1,0,0;-1430533030
1,0,0;-1430533029
1,0,0;-1430533028
1,0,0;-1430533027
1,0,0;-1430533026
1,0,0;-1430533025
1,0,0;-1430533024
1,0,0;-1430533023
1,0,0;-1430533022
1,0,0;-1430533021
1,0,0;-1430533020
1,0,0;-1430533019
1,0,0;-1430533018
1,0,0;-1430533017
1,0,0;-1430533016
1,0,0;-1430533015
1,0,0;-1430533014
1,0,0;-1430533013
1,0,0;-1430533012
1,0,0;-1430533011
1,0,0;-1430533010
1,0,0;-1430533009
1,0,0;-1430533008
1,0,0;-1430533007
1,0,0;-1430533006
1,0,0;-1430533005
1,0,0;-1430533004
1,0,0;-1430533003
1,0,0;-1430533002
1,0,0;-1430533001
1,0,0;-1430533000
1,0,0;-1430532999
1,0,0;-1430532998
1,0,0;-1430532997
1,0,0;-1430532996
1,0,0;-1430532995
1,0,0;-1430532994
1,0,0;-1430532993
1,0,0;-1430532992
1,0,0;-1430532991
1,0,0;-1430532990
1,0,0;-1430532989
1,0,0;-1430532988
1,0,0;-1430532987
1,0,0;-1430532986
1,0,0;-1430532985
1,0,0;-1430532984
1,0,0;-1430532983
1,0,0;-1430532982
1,0,0;-1430532981
1,0,0;-1430532980
1,0,0;-1430532979
1,0,0;-1430532978
1,0,0;-1430532977
1,0,0;-1430532976
1,0,0;-1430532975
1,0,0;-1430532974
1,0,0;-1430532973
1,0,0;-1430532972
1,0,0;-1430532971
1,0,0;-1430532970
1,0,0;-1430532969
1,0,0;-1430532968
1,0,0;-1430532967
1,0,0;-1430532966
